target_year,offset_pos,term,estimate,std.error,statistic,p.value,model
1,FALSE,(Intercept),1.9487717177894908,0.22035717283065254,8.843695409394039,9.260383348551492e-19,offset_only_acc68
1,FALSE,offset_magnitude,-0.07239876979724012,0.0075257760139611765,-9.620106904979913,6.576277968436249e-22,offset_only_acc68
1,TRUE,(Intercept),1.4292071925968515,0.2091504519558746,6.833392800405603,8.292947313600066e-12,offset_only_acc68
1,TRUE,offset_magnitude,-0.06551077211520843,0.007527320501649479,-8.703066662413658,3.2303403506171844e-18,offset_only_acc68
1206,FALSE,(Intercept),1.8317814808026127,0.2216703595900143,8.263538184313614,1.4141693663615853e-16,offset_only_acc68
1206,FALSE,offset_magnitude,-0.06763168960108837,0.007506673492382826,-9.009541932217463,2.0691893736904984e-19,offset_only_acc68
1206,TRUE,(Intercept),1.3971021106315218,0.1991960773549663,7.013702926197154,2.3209193165683353e-12,offset_only_acc68
1206,TRUE,offset_magnitude,-0.05770976503519997,0.006997793922679275,-8.246851175220717,1.6262274035741103e-16,offset_only_acc68
2413,FALSE,(Intercept),1.6583804167378926,0.2068738992290239,8.016383037774858,1.089045313245916e-15,offset_only_acc68
2413,FALSE,offset_magnitude,-0.06873402819666702,0.007487192793033793,-9.180213478757791,4.302376415797564e-20,offset_only_acc68
2413,TRUE,(Intercept),1.7136741966741533,0.22349546872949352,7.667601524164632,1.75242304841017e-14,offset_only_acc68
2413,TRUE,offset_magnitude,-0.061129838430184005,0.00750011287044738,-8.150522463608954,3.623553224515232e-16,offset_only_acc68
3661,FALSE,(Intercept),1.6355904630678306,0.20792218540226334,7.86635856055227,3.651130950455658e-15,offset_only_acc68
3661,FALSE,offset_magnitude,-0.061132206014201065,0.007290968654201906,-8.384648036988825,5.087775531719891e-17,offset_only_acc68
3661,TRUE,(Intercept),1.6750061577928963,0.2152294784194357,7.782419815786904,7.115030027678443e-15,offset_only_acc68
3661,TRUE,offset_magnitude,-0.06126079877180033,0.007545986683180584,-8.118328502798166,4.726480039188047e-16,offset_only_acc68
4854,FALSE,(Intercept),1.6670145420331572,0.21661357932394318,7.695798884058675,1.4061283207779194e-14,offset_only_acc68
4854,FALSE,offset_magnitude,-0.07264153599767231,0.007844232980247461,-9.260502101427985,2.0347310389485158e-20,offset_only_acc68
4854,TRUE,(Intercept),1.6293552838116085,0.21038603252718852,7.744598176217067,9.588458587746281e-15,offset_only_acc68
4854,TRUE,offset_magnitude,-0.0612159105334294,0.007099450941888009,-8.622626036084673,6.54358789174543e-18,offset_only_acc68
6026,FALSE,(Intercept),2.0621556615805865,0.2197287925105506,9.385004295609411,6.291387666678401e-21,offset_only_acc68
6026,FALSE,offset_magnitude,-0.06641636051758815,0.00753367162946925,-8.81593514877781,1.1869017453195166e-18,offset_only_acc68
6026,TRUE,(Intercept),1.6544386641569746,0.2112542260567921,7.831505646245425,4.820616960615155e-15,offset_only_acc68
6026,TRUE,offset_magnitude,-0.05295367752702412,0.00702359665244179,-7.539396145223473,4.7215264760880035e-14,offset_only_acc68
7273,TRUE,(Intercept),2.0500231348445355,0.22564890124860848,9.085012705583372,1.036865715295028e-19,offset_only_acc68
7273,TRUE,offset_magnitude,-0.06381008298941497,0.00745892156654177,-8.554867137314552,1.180045679397108e-17,offset_only_acc68
7273,FALSE,(Intercept),2.098117185327443,0.2244147169775498,9.349285169819483,8.824207339866255e-21,offset_only_acc68
7273,FALSE,offset_magnitude,-0.06520546999422969,0.0073829323670813645,-8.831920265850524,1.0289378454806138e-18,offset_only_acc68
8557,TRUE,(Intercept),2.3111426598657756,0.2432583335729921,9.500774859054497,2.083342400011976e-21,offset_only_acc68
8557,TRUE,offset_magnitude,-0.0689041300424567,0.007875181126571072,-8.749529558116743,2.1424400779370596e-18,offset_only_acc68
8557,FALSE,(Intercept),2.251312716177699,0.23593936875159852,9.541912094152986,1.402227013354923e-21,offset_only_acc68
8557,FALSE,offset_magnitude,-0.06571595609535749,0.007690666962807298,-8.544896874765907,1.2865110317724118e-17,offset_only_acc68
9808,TRUE,(Intercept),1.9641275450751012,0.2210490814369388,8.885481596698833,6.36444627561804e-19,offset_only_acc68
9808,TRUE,offset_magnitude,-0.05992925773759793,0.007358237264036211,-8.144512821094457,3.808120109950333e-16,offset_only_acc68
9808,FALSE,(Intercept),2.3186932458490044,0.24567355992819742,9.43810659367123,3.795761046345412e-21,offset_only_acc68
9808,FALSE,offset_magnitude,-0.07567237658633516,0.008207771421750994,-9.219600875555534,2.982081371124949e-20,offset_only_acc68
11091,TRUE,(Intercept),2.6162485742041466,0.2550781879111674,10.256653442728988,1.1046897393077966e-24,offset_only_acc68
11091,TRUE,offset_magnitude,-0.08270262849049224,0.008370245392699927,-9.880550044879328,5.055464325878269e-23,offset_only_acc68
11091,FALSE,(Intercept),2.2427294294419897,0.24251105581833174,9.247947158013481,2.288454282046775e-20,offset_only_acc68
11091,FALSE,offset_magnitude,-0.07071746540575806,0.007744159495092361,-9.131716030716209,6.742197065150286e-20,offset_only_acc68
1,FALSE,(Intercept),-0.771677308531392,0.2645355219753953,-2.9171027874402684,0.003532993244779765,sigma_only_acc68
