offset_pos,binned_targets,term,estimate,std.error,statistic,p.value,model
FALSE,21,(Intercept),1.081641369594171,0.5097509313904707,2.121901703335252,0.03384599338965187,offset_only_acc68
FALSE,21,offset_magnitude,0.05825991818562692,0.01728789189582395,3.3699839481122704,7.517256251340436e-4,offset_only_acc68
FALSE,24,(Intercept),0.9817377063507721,0.42033249244644966,2.3356217375363753,0.01951096463979114,offset_only_acc68
FALSE,24,offset_magnitude,0.048689745793077256,0.015341233514299025,3.1737829782523845,0.0015046614911429018,offset_only_acc68
FALSE,28,(Intercept),1.709664358283661,0.4922001169782965,3.4735147337623418,5.136891589256577e-4,offset_only_acc68
FALSE,28,offset_magnitude,0.04636610126087455,0.016440661675815493,2.820208953577575,0.004799238723584666,offset_only_acc68
TRUE,40,(Intercept),1.7840543646217761,0.4818330350205308,3.702640198893291,2.1336738083410113e-4,offset_only_acc68
TRUE,40,offset_magnitude,-0.06541774179449703,0.016090097774099997,-4.065714373706233,4.7885554071862704e-5,offset_only_acc68
TRUE,45,(Intercept),1.9920380545321337,0.5311388392589709,3.750503460284256,1.76479869510411e-4,offset_only_acc68
TRUE,45,offset_magnitude,-0.0660877625885784,0.01737414953469401,-3.8037984222830237,1.4249414738626493e-4,offset_only_acc68
FALSE,2,(Intercept),1.5596815151283105,0.43267679809501797,3.6047264886752646,3.124818394912635e-4,offset_only_acc68
FALSE,2,offset_magnitude,0.059823603083964345,0.015245035316238864,3.9241367332380546,8.704129103163191e-5,offset_only_acc68
TRUE,32,(Intercept),2.8070436614699172,0.600899468450545,4.671403136215191,2.9914916278713173e-6,offset_only_acc68
TRUE,32,offset_magnitude,-0.08764488308656107,0.019729830937424447,-4.442252108724978,8.902216665448861e-6,offset_only_acc68
TRUE,34,(Intercept),2.6720232586350674,0.600910448287961,4.446624727940515,8.723002793096083e-6,offset_only_acc68
TRUE,34,offset_magnitude,-0.0894731758570596,0.019435487024876144,-4.603598342688291,4.152529720518832e-6,offset_only_acc68
TRUE,50,(Intercept),1.6727057466373674,0.46987929885343627,3.5598626087997,3.7104886811753377e-4,offset_only_acc68
TRUE,50,offset_magnitude,-0.0648954696554742,0.017043773566629013,-3.8075763798303908,1.4033540207213126e-4,offset_only_acc68
TRUE,38,(Intercept),2.0828802488058527,0.49629587787791507,4.19685180080868,2.706509091431618e-5,offset_only_acc68
TRUE,38,offset_magnitude,-0.05907538335745727,0.01652965390793389,-3.5739032218395277,3.516989650429779e-4,offset_only_acc68
FALSE,47,(Intercept),2.925491305715799,0.673116446183313,4.346189017225536,1.385232115812873e-5,offset_only_acc68
FALSE,47,offset_magnitude,0.09559946970111924,0.02176013274565754,4.393331181318143,1.1162687810992847e-5,offset_only_acc68
TRUE,44,(Intercept),2.1360644394070825,0.45999309075659217,4.643688095170526,3.4224411857434855e-6,offset_only_acc68
TRUE,44,offset_magnitude,-0.06187537618270424,0.014942990353531187,-4.140762639794011,3.461530128757789e-5,offset_only_acc68
FALSE,13,(Intercept),2.0122244618160288,0.4934705842983509,4.077698906161028,4.5483614583170364e-5,offset_only_acc68
FALSE,13,offset_magnitude,0.0785148476529211,0.01765883393895754,4.446207939002574,8.739935294018065e-6,offset_only_acc68
FALSE,33,(Intercept),2.492483304137653,0.5346207008167004,4.662152625833738,3.129189798669267e-6,offset_only_acc68
FALSE,33,offset_magnitude,0.07335308751359035,0.017331699065876296,4.232307936733818,2.3130541584607792e-5,offset_only_acc68
TRUE,11,(Intercept),1.481371483168725,0.49821973985410356,2.973329566593494,0.002945879578023797,offset_only_acc68
TRUE,11,offset_magnitude,-0.06872114656380708,0.017989623898150214,-3.8200435402584123,1.33428118384651e-4,offset_only_acc68
FALSE,35,(Intercept),1.412607220264567,0.4703186376349796,3.0035110395963294,0.002668838661724545,offset_only_acc68
FALSE,35,offset_magnitude,0.035068854369320834,0.01563777985921192,2.2425724549807136,0.024924398155152613,offset_only_acc68
TRUE,1,(Intercept),1.5624808225092157,0.4999485683140416,3.1252831221785735,0.0017763400185165522,offset_only_acc68
TRUE,1,offset_magnitude,-0.08934261667308807,0.019874493446487975,-4.4953405687366494,6.945868512511446e-6,offset_only_acc68
TRUE,37,(Intercept),2.5222777696497634,0.5901516268843048,4.27394868496099,1.920412514268997e-5,offset_only_acc68
TRUE,37,offset_magnitude,-0.07248182347263585,0.01902974112901317,-3.8088707030348634,1.396029302928383e-4,offset_only_acc68
FALSE,36,(Intercept),1.5347079743400278,0.5034153477042463,3.04859194567437,0.00229916543306914,offset_only_acc68
FALSE,36,offset_magnitude,0.04583479308531318,0.016149061143950896,2.8382326797048476,0.004536410013793577,offset_only_acc68
TRUE,23,(Intercept),1.5529784667575168,0.48418117398857435,3.207432569020463,0.001339254528620505,offset_only_acc68
TRUE,23,offset_magnitude,-0.06062663152105117,0.016369714324448153,-3.703585189052771,2.1257375103746453e-4,offset_only_acc68
TRUE,3,(Intercept),1.462121846248603,0.4931889727766912,2.964628016755416,0.003030491248021228,offset_only_acc68
TRUE,3,offset_magnitude,-0.06376371303055585,0.017009958730419265,-3.748610683959266,1.7781686037246332e-4,offset_only_acc68
TRUE,42,(Intercept),1.8253167166843804,0.5154886882569829,3.5409442695169644,3.986977828623385e-4,offset_only_acc68
TRUE,42,offset_magnitude,-0.05552532282521542,0.018245587039974153,-3.04321931125402,0.002340616834964963,offset_only_acc68
FALSE,30,(Intercept),2.270691270407025,0.4859606484881042,4.672582599993401,2.9743583672018028e-6,offset_only_acc68
