CalBP,BP,Error
532,525,10
533,526,10
534,526,10
535,526,10
536,526,10
537,527,10
538,529,10
539,531,10
540,534,10
541,538,10
542,542,10
543,546,10
544,551,10
545,555,10
546,558,10
547,561,10
548,564,10
549,566,10
550,568,10
551,570,10
552,574,10
553,578,10
554,583,10
555,589,10
556,594,10
557,599,10
558,605,10
559,610,10
560,615,10
561,620,10
562,624,10
563,628,10
564,631,10
565,633,10
566,635,10
567,637,10
568,640,10
569,643,10
570,646,10
571,651,10
572,655,10
573,659,10
574,663,10
575,665,11
576,665,11
577,664,11
578,662,11
579,660,11
580,656,11
581,653,11
582,649,11
583,645,11
584,642,11
585,638,11
586,635,11
587,631,11
588,628,11
589,626,11
590,623,11
591,619,11
592,616,11
593,612,11
594,607,10
595,603,10
596,599,10
597,595,10
598,592,10
599,591,10
600,590,10
601,590,10
602,590,10
603,589,10
604,589,10
605,588,10
606,587,10
607,587,10
608,587,10
609,587,10
610,587,10
611,587,10
612,587,10
613,586,10
614,585,10
615,583,10
616,582,10
617,581,10
618,580,10
619,580,10
620,580,10
621,582,10
622,584,10
623,588,10
624,592,10
625,597,10
626,601,10
627,606,10
628,610,10
629,614,10
630,618,10
631,621,10
632,623,10
633,625,10
634,625,10
635,625,10
636,625,10
637,625,10
638,625,11
639,625,11
640,626,11
641,627,11
642,628,11
643,630,11
644,633,11
645,637,11
646,641,11
647,645,11
648,650,10
649,654,10
650,659,11
651,663,11
652,668,11
653,672,11
654,675,11
655,678,11
656,680,11
657,681,11
658,683,11
659,684,11
660,686,11
661,688,11
662,689,11
663,692,11
664,694,11
665,696,11
666,699,11
667,703,11
668,707,11
669,712,11
670,718,11
671,725,11
672,732,11
673,739,11
674,745,11
675,750,11
676,754,11
677,758,11
678,761,11
679,764,11
680,767,11
681,771,11
682,774,11
683,778,11
684,781,11
685,785,11
686,788,11
687,792,11
688,795,11
689,797,11
690,800,11
691,802,11
692,803,11
693,804,11
694,805,11
695,805,11
696,806,11
697,807,11
698,808,11
699,809,11
700,809,11
701,808,11
702,808,11
703,807,11
704,806,11
705,805,11
706,804,11
707,803,11
708,802,11
709,801,11
710,800,11
711,799,11
712,798,11
713,797,11
714,797,11
715,797,11
716,797,11
717,799,11
718,800,11
719,802,11
720,803,11
721,805,11
722,806,11
723,808,11
724,809,11
725,812,10
726,815,10
727,819,10
728,824,10
729,829,10
730,835,11
731,842,10
732,848,11
733,853,10
734,857,10
735,860,10
736,862,10
737,864,10
738,866,10
739,867,10
740,868,11
741,869,11
742,870,11
743,871,11
744,871,11
745,871,11
746,871,11
747,872,11
748,874,11
749,876,11
750,879,11
751,881,11
752,882,11
753,883,11
754,882,11
755,881,11
756,879,11
757,876,11
758,874,11
759,872,11
760,870,11
761,869,11
762,868,11
763,867,11
764,865,11
765,864,11
766,863,11
767,863,11
768,864,11
769,866,11
770,868,11
771,871,11
772,874,11
773,877,11
774,879,11
775,881,11
776,883,11
777,883,11
778,883,11
779,883,11
780,882,11
781,882,11
782,882,11
783,884,11
784,886,10
785,889,10
786,893,10
787,896,10
788,899,10
789,903,10
790,906,10
791,910,11
792,914,11
793,919,11
794,923,11
795,928,11
796,933,10
797,937,10
798,940,11
799,942,11
800,944,11
801,945,11
802,947,11
803,948,11
804,949,11
805,950,11
806,950,11
807,950,11
808,950,11
809,948,11
810,946,11
811,944,11
812,942,11
813,940,10
814,939,10
815,939,10
816,940,10
817,941,10
818,942,10
819,942,10
820,943,10
821,943,10
822,944,10
823,944,10
824,946,10
825,947,10
826,949,10
827,950,10
828,951,10
829,952,10
830,952,10
831,953,10
832,954,10
833,955,10
834,956,10
835,957,10
836,959,10
837,960,10
838,961,10
839,961,11
840,961,11
841,960,11
842,959,11
843,957,11
844,955,10
845,953,10
846,951,10
847,949,10
848,947,10
849,945,11
850,944,11
851,943,11
852,943,11
853,944,11
854,945,11
855,947,11
856,950,10
857,953,10
858,955,10
859,956,10
860,957,11
861,957,10
862,957,10
863,956,10
864,954,10
865,952,10
866,950,10
867,947,10
868,943,10
869,939,10
870,935,10
871,930,10
872,926,10
873,924,10
874,922,10
875,921,10
876,921,10
877,921,10
878,921,10
879,921,10
880,921,10
881,921,10
882,921,10
883,921,10
884,922,10
885,922,10
886,922,10
887,922,10
888,922,10
889,921,10
890,920,10
891,918,10
892,917,10
893,915,10
894,914,10
895,914,10
896,917,10
897,921,10
898,926,10
899,931,10
900,936,10
901,940,10
902,944,10
903,948,11
904,950,10
905,952,11
906,954,11
907,955,10
908,956,10
909,957,10
910,959,10
911,961,10
912,963,10
913,966,10
914,969,10
915,972,10
916,976,10
917,980,10
918,984,10
919,988,10
920,992,10
921,995,10
922,999,10
923,1002,10
924,1006,10
925,1009,10
926,1014,10
927,1019,10
928,1025,10
929,1030,10
930,1035,10
931,1039,10
932,1042,10
933,1044,10
934,1046,10
935,1046,10
936,1047,10
937,1048,10
938,1049,10
939,1050,10
940,1051,10
941,1052,10
942,1051,10
943,1050,10
944,1047,10
945,1044,10
946,1040,10
947,1036,10
948,1033,10
949,1030,10
950,1028,10
951,1027,10
952,1027,10
953,1030,10
954,1035,10
955,1043,10
956,1054,10
957,1066,10
958,1077,10
959,1085,10
960,1091,10
961,1094,10
962,1096,10
963,1097,10
964,1096,10
965,1095,10
966,1094,10
967,1093,10
968,1092,10
969,1091,10
970,1091,10
971,1093,10
972,1096,10
973,1100,10
974,1104,10
975,1109,10
976,1113,10
977,1116,10
978,1118,10
979,1119,10
980,1119,10
981,1118,11
982,1116,11
983,1115,11
984,1113,11
985,1113,11
986,1112,12
987,1112,12
988,1112,13
989,1113,13
990,1113,13
991,1114,12
992,1115,12
993,1116,12
994,1118,12
995,1119,12
996,1120,12
997,1122,12
998,1123,12
999,1125,13
1000,1126,13
1001,1128,13
1002,1129,13
1003,1131,13
1004,1132,14
1005,1133,14
1006,1134,13
1007,1135,13
1008,1136,13
1009,1137,13
1010,1138,13
1011,1138,13
1012,1139,13
1013,1139,13
1014,1139,13
1015,1139,13
1016,1139,13
1017,1138,13
1018,1138,13
1019,1137,13
1020,1136,13
1021,1135,13
1022,1134,13
1023,1132,13
1024,1130,13
1025,1128,13
1026,1126,13
1027,1124,13
1028,1122,12
1029,1120,12
1030,1118,12
1031,1116,12
1032,1114,12
1033,1112,12
1034,1110,12
1035,1108,12
1036,1106,12
1037,1105,12
1038,1103,12
1039,1102,12
1040,1102,12
1041,1101,12
1042,1101,13
1043,1101,13
1044,1101,13
1045,1102,13
1046,1103,13
1047,1105,13
1048,1106,13
1049,1109,12
1050,1111,12
1051,1114,12
1052,1117,12
1053,1120,12
1054,1124,12
1055,1127,12
1056,1131,12
1057,1135,12
1058,1139,12
1059,1143,12
1060,1147,12
1061,1151,13
1062,1155,13
1063,1159,13
1064,1163,14
1065,1166,14
1066,1170,14
1067,1174,14
1068,1177,14
1069,1180,14
1070,1183,14
1071,1186,14
1072,1188,14
1073,1191,14
1074,1193,14
1075,1195,14
1076,1196,14
1077,1198,14
1078,1199,13
1079,1200,13
1080,1201,13
1081,1201,13
1082,1202,13
1083,1202,13
1084,1202,13
1085,1202,13
1086,1202,13
1087,1202,13
1088,1202,14
1089,1202,14
1090,1201,14
1091,1201,14
1092,1200,14
1093,1199,14
1094,1199,14
1095,1198,14
1096,1197,14
1097,1196,14
1098,1195,13
1099,1195,13
1100,1194,13
1101,1193,13
1102,1192,13
1103,1191,13
1104,1191,13
1105,1190,13
1106,1189,14
1107,1189,14
1108,1189,14
1109,1188,14
1110,1188,15
1111,1188,15
1112,1188,15
1113,1189,16
1114,1189,16
1115,1190,16
1116,1191,16
1117,1192,16
1118,1193,15
1119,1195,15
1120,1196,15
1121,1198,14
1122,1200,14
1123,1203,14
1124,1205,14
1125,1207,14
1126,1210,14
1127,1212,14
1128,1215,14
1129,1217,13
1130,1219,13
1131,1220,12
1132,1222,12
1133,1223,12
1134,1224,11
1135,1224,11
1136,1224,11
1137,1223,12
1138,1222,12
1139,1220,12
1140,1218,12
1141,1217,12
1142,1217,12
1143,1217,12
1144,1217,12
1145,1218,12
1146,1218,12
1147,1219,11
1148,1219,11
1149,1220,11
1150,1220,11
1151,1221,10
1152,1223,10
1153,1225,10
1154,1226,10
1155,1228,10
1156,1228,10
1157,1228,10
1158,1226,10
1159,1222,10
1160,1217,10
1161,1211,10
1162,1205,10
1163,1199,10
1164,1194,10
1165,1191,10
1166,1188,10
1167,1185,10
1168,1183,10
1169,1179,10
1170,1174,10
1171,1168,10
1172,1163,9
1173,1166,9
1174,1178,9
1175,1203,9
1176,1238,9
1177,1269,10
1178,1289,9
1179,1299,10
1180,1302,10
1181,1301,10
1182,1299,10
1183,1295,10
1184,1291,10
1185,1287,10
1186,1284,10
1187,1283,10
1188,1284,10
1189,1286,10
1190,1290,10
1191,1295,10
1192,1300,10
1193,1305,10
1194,1308,10
1195,1310,10
1196,1309,10
1197,1307,10
1198,1304,10
1199,1302,10
1200,1301,10
1201,1299,10
1202,1298,10
1203,1297,10
1204,1296,10
1205,1294,10
1206,1291,10
1207,1287,10
1208,1284,10
1209,1279,10
1210,1275,10
1211,1271,10
1212,1267,10
1213,1265,10
1214,1263,10
1215,1263,10
1216,1263,10
1217,1263,10
1218,1263,10
1219,1264,10
1220,1264,10
1221,1265,10
1222,1265,10
1223,1265,10
1224,1263,10
1225,1262,10
1226,1260,10
1227,1258,10
1228,1256,10
1229,1254,10
1230,1253,11
1231,1253,11
1232,1253,11
1233,1254,11
1234,1254,11
1235,1255,11
1236,1254,11
1237,1254,11
1238,1253,11
1239,1252,11
1240,1251,11
1241,1252,11
1242,1255,11
1243,1259,11
1244,1264,11
1245,1270,11
1246,1274,11
1247,1278,11
1248,1281,11
1249,1283,11
1250,1284,11
1251,1283,11
1252,1282,11
1253,1281,11
1254,1279,11
1255,1277,11
1256,1276,11
1257,1275,11
1258,1276,12
