"","sim_number","oxcal_target","agreement_model","SimNumber","Targets","Span","Samples","Phases","Errors","OffsetVaria","model_run","accuracy_68","accuracy_95","precision_68","precision_95","off_target_68","off_target_95","Offset"
"3528",1764,"TSB5286",0,1764,2799,26,37,1,20,8.93410100720916,0,0,0,0,0,0,0,0
"3529",1765,"TEB4127",106.85,1765,2236,92,9,1,26,11.6934563729051,1,1,1,45,87.5,0,0,0
"3530",1765,"TSB4207",106.85,1765,2236,92,9,1,26,11.6934563729051,1,1,1,65.5,118.5,0,0,0
"3531",1766,"TEB11403",75,1766,8082,27,7,1,27,21.2133482018006,1,1,1,107,221,0,0,0
"3532",1766,"TSB11455",75,1766,8082,27,7,1,27,21.2133482018006,1,0,1,96,209,41.5,0,0
"3533",1767,"TEB9515",144.3,1767,7468,133,17,1,15,6.96879221139685,1,1,1,21,44.5,0,0,0
"3534",1767,"TSB9630",144.3,1767,7468,133,17,1,15,6.96879221139685,1,0,1,39.5,89.5,23,0,0
"3535",1768,"TEB10168",180.2,1768,2496,52,14,1,29,23.12890342286,1,1,1,38,81,0,0,0
"3536",1768,"TSB10271",180.2,1768,2496,52,14,1,29,23.12890342286,1,1,1,43.5,103.5,0,0,0
"3537",1769,"TEB7218",111.5,1769,5172,52,36,1,13,23.9829030393078,1,1,1,56,90,0,0,0
"3538",1769,"TSB7380",111.5,1769,5172,52,36,1,13,23.9829030393078,1,1,1,44.5,86,0,0,0
"3539",1770,"TEB6031",83.6,1770,8870,115,10,1,16,6.00518815751537,1,1,1,67.5,101,0,0,0
"3540",1770,"TSB6212",83.6,1770,8870,115,10,1,16,6.00518815751537,1,1,1,51,132,0,0,0
"3541",1771,"TEB3440",104.7,1771,1216,52,5,1,12,15.5248060111946,1,0,1,30,64,5.5,0,0
"3542",1771,"TSB3509",104.7,1771,1216,52,5,1,12,15.5248060111946,1,1,1,54,95.5,0,0,0
"3543",1772,"TEB5994",84,1772,12301,122,27,1,12,5.21830033927946,1,0,1,62,128.5,2,0,0
"3544",1772,"TSB6094",84,1772,12301,122,27,1,12,5.21830033927946,1,1,1,64.5,169,0,0,0
"3545",1773,"TEB537",73.1,1773,1350,113,31,1,8,9.60469766766298,1,1,1,37,85,0,0,0
"3546",1773,"TSB698",73.1,1773,1350,113,31,1,8,9.60469766766298,1,1,1,20,42.5,0,0,0
"3547",1774,"TEB7596",103.6,1774,11753,69,25,1,14,2.56615521584894,1,1,1,41.5,74.5,0,0,0
"3548",1774,"TSB7754",103.6,1774,11753,69,25,1,14,2.56615521584894,1,0,1,42.5,81,2,0,0
"3549",1775,"TEB9851",107.7,1775,1773,89,27,1,24,2.8182382600666,1,1,1,79,138.5,0,0,0
"3550",1775,"TSB9963",107.7,1775,1773,89,27,1,24,2.8182382600666,1,1,1,59.5,185,0,0,0
"3551",1776,"TEB3859",85.6,1776,4662,104,35,1,31,3.69655822075717,1,1,1,86,163.5,0,0,0
"3552",1776,"TSB4033",85.6,1776,4662,104,35,1,31,3.69655822075717,1,1,1,86,188,0,0,0
"3553",1777,"TEB5835",90.25,1777,11287,32,29,1,29,11.8224480644127,1,1,1,157,327,0,0,0
"3554",1777,"TSB5937",90.25,1777,11287,32,29,1,29,11.8224480644127,1,1,1,84,216,0,0,0
"3555",1778,"TEB774",65.7,1778,11054,78,36,1,25,2.39966507461201,1,1,1,74,135,0,0,0
"3556",1778,"TSB891",65.7,1778,11054,78,36,1,25,2.39966507461201,1,1,1,50,123,0,0,0
"3557",1779,"TEB9048",81.95,1779,1356,149,37,1,10,26.0494026495093,1,1,1,67,112.5,0,0,0
"3558",1779,"TSB9183",81.95,1779,1356,149,37,1,10,26.0494026495093,1,1,1,105,159,0,0,0
"3559",1780,"TEB3446",140.1,1780,3224,117,21,1,23,18.2146734918123,1,1,1,13.5,35,0,0,0
"3560",1780,"TSB3482",140.1,1780,3224,117,21,1,23,18.2146734918123,1,1,1,20.5,37.5,0,0,0
"3561",1781,"TEB1879",0,1781,2936,161,30,1,14,2.99056835647183,0,0,0,0,0,0,0,0
"3562",1781,"TSB2072",0,1781,2936,161,30,1,14,2.99056835647183,0,0,0,0,0,0,0,0
"3563",1782,"TEB9485",119.75,1782,8569,60,37,1,21,2.51395161559549,1,1,1,36,77,0,0,0
"3564",1782,"TSB9622",119.75,1782,8569,60,37,1,21,2.51395161559549,1,0,1,40,98,23,0,0
"3565",1783,"TEB2637",121.4,1783,1570,76,8,1,23,10.2950488691481,1,1,1,42,110.5,0,0,0
"3566",1783,"TSB2812",121.4,1783,1570,76,8,1,23,10.2950488691481,1,1,1,53,93.5,0,0,0
"3567",1784,"TEB3052",127.5,1784,9550,46,39,1,26,4.717271657618,1,0,0,41.5,83.5,11,2.5,0
"3568",1784,"TSB3149",127.5,1784,9550,46,39,1,26,4.717271657618,1,1,1,44.5,72.5,0,0,0
"3569",1785,"TEB11928",93.8,1785,10241,148,15,1,16,12.8219079383418,1,1,1,291,1039,0,0,0
"3570",1785,"TSB12112",93.8,1785,10241,148,15,1,16,12.8219079383418,1,0,0,316,826,111.5,1.5,0
"3571",1786,"TEB9357",85,1786,6599,83,28,1,27,1.81821815784415,1,1,1,69,139.5,0,0,0
"3572",1786,"TSB9522",85,1786,6599,83,28,1,27,1.81821815784415,1,1,1,39,64.5,0,0,0
"3573",1787,"TEB3670",0,1787,4894,104,10,1,13,17.994020808399,0,0,0,0,0,0,0,0
"3574",1787,"TSB3835",0,1787,4894,104,10,1,13,17.994020808399,0,0,0,0,0,0,0,0
"3575",1788,"TEB9204",70.65,1788,6414,162,25,1,29,17.2332903553215,1,1,1,103,242,0,0,0
"3576",1788,"TSB9364",70.65,1788,6414,162,25,1,29,17.2332903553215,1,1,1,110,206,0,0,0
"3577",1789,"TEB9197",107.55,1789,400,65,39,1,17,1.85585078176227,1,1,1,74.5,160,0,0,0
"3578",1789,"TSB9226",107.55,1789,400,65,39,1,17,1.85585078176227,1,1,1,85.5,165,0,0,0
