target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
1166,10,1165.250166,9.952559642,-29.78114765,1,1,57,107,NA,NA,14.108630104569585
1166,10,1166.403121,34.27443862,-31.62644221,1,1,109,197,NA,NA,35.70346121479187
1167,10,1139.142343,22.64309804,-19.01036883,0,1,71,146,102,NA,24.75297737342019
1167,10,1225.755637,14.40037447,31.96450472,0,0,54,121,3,1,17.531993180361088
1171,10,1161.290127,21.05643957,-6.425080937,1,1,81,159,NA,NA,23.31037638831818
1172,9,1156.463009,28.56082664,16.82821806,1,1,94,177,NA,NA,29.945297099212986
1172,9,1202.819682,30.34188739,-10.15175355,0,1,91,166,5,NA,31.648540730773686
1174,9,1176.565648,22.79159321,-13.71240632,1,1,75,151,NA,NA,24.504218433774174
1175,9,1223.252996,19.29739227,23.19217557,0,1,67,138,11,NA,21.29294128161386
1177,10,1232.929319,27.08162511,-39.9627208,0,1,92,178,13,NA,28.86891786331075
1177,10,1251.079483,19.44068971,-25.89732683,0,1,74,153,18,NA,21.861848421405266
1180,10,1265.411786,33.97142735,-43.98654725,1,1,90,178,NA,NA,35.41267959638649
1181,10,1267.244294,14.59323015,-30.57972102,0,1,54,95,27,NA,17.690742387216797
1183,10,1231.59951,30.20020782,-36.95206069,0,1,97,188,19,NA,31.812773415268104
1183,10,1352.816851,31.52380464,35.79057476,0,1,43,110,9,NA,33.07189530373011
1186,10,1235.9109779999999,13.54598133,-24.65127856,0,0,54,125,24,7,16.837268489654388
1187,10,1345.994115,22.31602618,40.68374855,0,1,23,71,88,NA,24.454141253915367
1188,10,1268.018978,17.7149295,-38.38563408,0,1,58,104,19,NA,20.34253492537177
1188,10,1267.141762,11.78280932,-15.99771963,0,1,54,89,20,NA,15.454274343089645
1189,10,1284.936024,13.80953104,0.734717445,1,1,54,104,NA,NA,17.05001898957076
1189,10,1266.935484,22.49998413,-13.19196275,0,1,65,137,1,NA,24.62213000230183
1190,10,1265.320415,12.46812199,-9.671450988,0,1,44,90,19,NA,15.982930455880785
1192,10,1339.017389,17.91229171,16.80200815,0,1,20,66,83,NA,20.51463366244045
1192,10,1296.440313,8.373033357,-14.37050474,1,1,39,71,NA,NA,13.042533787475296
1194,10,1308.683872,11.44245616,20.66559421,1,1,34,74,NA,NA,15.196374665476037
1194,10,1351.293931,30.10305846,21.0366223,1,1,40,106,NA,NA,31.720563182991842
1195,10,1325.194214,34.21991424,8.273964049,1,1,58,125,NA,NA,35.65112243103932
1195,10,1291.714457,33.08614484,3.353801253,1,1,72,139,NA,NA,34.56433104189142
1197,10,1297.067197,16.53464516,-12.89205204,1,1,45,92,NA,NA,19.323418190556023
1197,10,1308.406382,33.6973592,44.42251325,1,1,67,119,NA,NA,35.14985088238391
1198,10,1305.892951,11.54944168,-15.5050077,1,1,34,73,NA,NA,15.277094066599224
1199,10,1327.46322,14.13571458,-2.062717592,1,1,26,63,NA,NA,17.315265712290543
1201,10,1344.625395,25.02604327,17.12586333,0,1,34,85,1,NA,26.950006340479998
1202,10,1291.093518,17.92213787,-34.1670977,1,1,58,108,NA,NA,20.523231369140877
1205,10,1344.125049,26.15496073,33.40447671,0,1,38,91,3,NA,28.001463725809803
1206,10,1278.536446,24.31868463,-13.41003154,1,1,65,111,NA,NA,26.29445611024115
1206,10,1297.077385,15.36112334,41.91350795,1,1,43,88,NA,NA,18.329323780944367
1208,10,1233.6824,11.07838835,-49.02642111,0,0,44,112,23,5,14.924164580753448
1209,10,1206.517862,27.06509847,-33.281416,0,0,85,148,43,6,28.853414965837167
1209,10,1249.456426,21.97442831,-20.33809938,1,1,83,165,NA,NA,24.14281465677375
1211,10,1300.730398,32.30785551,11.63691822,0,1,65,119,1,NA,33.82007580794339
1213,10,1310.753788,14.85498503,28.50649743,0,0,44,77,7,3,17.907277298392522
1214,10,1228.991828,26.02571708,-18.45704305,0,1,85,170,10,NA,27.880781006424545
1215,10,1235.406722,30.5659509,-16.79117298,1,1,100,188,NA,NA,32.16018274856676
1217,10,1306.702177,30.19596932,35.77031381,0,1,61,117,8,NA,31.808749789552895
1219,10,1291.224753,16.92281903,41.19791454,0,1,58,97,9,NA,19.6565969568013
1220,10,1253.654646,8.473433392,-12.2946175,1,1,30,84,NA,NA,13.107214557207058
1221,10,1282.688556,17.99274681,2.239788882,0,1,57,102,6,NA,20.584920154539468
1222,10,1252.298667,24.4209401,0.832004799,1,1,81,172,NA,NA,26.389056735089795
1224,10,1263.831841,22.47465134,-19.35128248,1,1,65,137,NA,NA,24.59898276056479
1224,10,1339.092187,30.69831693,48.90372294,0,0,48,107,19,3,32.286013416566696
1230,11,1240.504442,24.05933676,35.08182764,1,1,77,176,NA,NA,26.454710078378998
1230,11,1230.096048,12.54740082,-30.37776253,0,1,47,117,3,NA,16.686439624369743
1230,11,1292.498193,22.65634605,33.937524,0,1,59,109,18,NA,25.18551203246324
1231,11,1256.858686,30.06693506,1.697335113,1,1,97,179,NA,NA,32.01594265209533
1231,11,1270.331059,20.23777744,7.729568239,1,1,59,111,NA,NA,23.03405382712676
1234,11,1191.442876,13.97019459,-47.54887247,0,0,57,100,66,57,17.781066809459585
1235,11,1276.431116,12.97585929,20.88195828,0,1,51,97,8,NA,17.010964826072602
1235,11,1375.330072,34.16857295,49.41092082,0,0,38,113,44,28,35.89556208557642
1238,11,1235.893453,23.60567199,4.940217524,1,1,72,169,NA,NA,26.042806110315198
1238,11,1268.34016,33.41702012,-4.654064076,1,1,84,175,NA,NA,35.180921444733144
1239,11,1259.932091,34.64392009,16.39441228,1,1,101,189,NA,NA,36.34833145004466
1240,11,1327.152342,29.46192213,18.3534083,0,0,56,107,26,2,31.44844758639421
1241,11,1254.024681,8.684615459,25.19532104,1,1,30,86,NA,NA,14.015082792145817
1241,11,1219.457152,19.12990242,-18.95403296,0,1,69,131,77,NA,22.067015353208095
1241,11,1246.006661,20.79836797,-13.92463432,1,1,69,164,NA,NA,23.52811318859891
1242,11,1233.670046,24.29128054,-19.99552508,1,1,81,167,NA,NA,26.665826637720844
1244,11,1275.946379,24.29796485,-5.957074161,1,1,70,126,NA,NA,26.671915863916404
1246,11,1244.197998,27.29384026,-23.62925068,1,1,90,186,NA,NA,29.427091533795807
1246,11,1234.198096,24.9293031,-47.11140934,0,1,83,169,1,NA,27.248305507896625
1247,11,1256.579888,23.33044221,-23.82642194,1,1,71,155,NA,NA,25.793594819531258
1247,11,1302.057024,8.926341265,16.09331362,0,1,41,72,20,NA,14.166141619341584
1247,11,1267.67484,17.87220247,-39.97669721,1,1,58,105,NA,NA,20.986081604927445
1247,11,1250.383739,17.59500733,-25.21635194,1,1,64,144,NA,NA,20.750524883548216
1250,11,1286.724199,14.77337177,-0.945633533,1,1,50,95,NA,NA,18.418808687171733
1252,11,1288.486688,15.57713505,-11.35601222,1,1,50,96,NA,NA,19.06953424617231
1252,11,1265.537603,23.56475853,6.448588567,1,1,68,139,NA,NA,26.005727149557032
1252,11,1275.7469,28.84564786,-19.21142507,1,1,75,141,NA,NA,30.871854503141247
1253,11,1260.292101,27.10176588,-9.139567963,1,1,75,162,NA,NA,29.249029279863837
1255,11,1331.169316,24.24758222,15.90322652,0,1,42,89,14,NA,26.626025680068366
1255,11,1270.705925,8.607219637,12.91740683,1,1,46,78,NA,NA,13.96725563163925
1256,11,1249.96876,29.16189768,38.32821767,1,1,92,187,NA,NA,31.16755165711271
1258,12,1318.051597,10.4592196,49.05891705,0,0,28,59,12,5,15.918394223068612
1260,12,1253.709004,30.08388263,-45.35774973,1,1,98,184,NA,NA,32.38888689188957
1261,12,1256.458289,15.96704631,-0.390607165,1,1,52,125,NA,NA,19.973646834408697
1261,12,1252.337004,11.58484999,-39.77143348,0,1,37,103,13,NA,16.679590801059927
1263,13,1252.489905,17.2157614,-29.19784996,0,1,58,137,1,NA,21.57272445894885
1265,14,1319.245203,21.0448931,39.39490053,0,1,43,87,2,NA,25.276224512185905
1267,14,1283.572446,24.06603205,-9.572592471,1,1,71,110,NA,NA,27.84194495058898
1268,14,1324.996327,32.72973734,0.67501443,1,1,56,113,NA,NA,35.5982542598003
1272,14,1303.391919,34.96044336,47.90491182,1,1,70,122,NA,NA,37.659429097209745
1275,13,1266.427374,12.4169182,-41.26115837,0,0,52,90,14,1,17.977203831115983
1278,13,1241.468874,23.40697855,-22.13119222,0,0,75,177,30,8,26.774738931316588
1279,13,1337.920972,21.34639125,10.23758485,1,1,31,70,NA,NA,24.99336750816257
1279,13,1259.224106,9.892713419,-47.30354073,0,0,34,78,33,8,16.3360270197641
1281,13,1280.527133,10.01011144,-36.16551002,0,0,48,101,11,4,16.407386478084156
1282,14,1320.961031,29.68252078,39.63833626,1,1,53,107,NA,NA,32.81847101641287
1282,14,1305.877398,25.70025099,-15.53470397,1,1,60,105,NA,NA,29.266070815006856
1282,14,1379.919103,24.17122819,38.27524986,0,1,21,69,4,NA,27.9329245195173
1284,14,1309.19465,31.62502978,-33.75333755,1,1,64,118,NA,NA,34.58529324128808
1285,14,1294.569019,24.38489774,-22.46823087,0,1,61,110,7,NA,28.118023362076094
1286,14,1295.716083,15.35994249,-39.5333281,0,0,42,92,10,1,20.782873557237156
1288,14,1372.263223,31.65014184,41.32259723,1,1,38,104,NA,NA,34.60825737439143
1289,14,1358.390231,31.6520834,-14.41469144,1,1,40,116,NA,NA,34.61003298987962
1291,13,1283.861416,33.36176066,-45.11991737,0,0,79,148,16,1,35.805126369489656
1292,13,1382.037562,20.0197727,28.03191256,1,1,16,47,NA,NA,23.87030161015284
1292,13,1312.479874,32.24303383,-47.50695352,0,1,63,119,4,NA,34.76511513805937
1292,13,1359.80707,16.33076587,13.3069694,1,1,13,30,NA,NA,20.87328229820976
1293,13,1419.439155,23.05939329,49.69947787,0,0,34,56,6,1,26.471411350793083
1293,13,1350.678545,9.625778995,-29.64825074,1,1,11,21,NA,NA,16.175772663479886
1293,13,1351.631462,14.67656629,-13.96440349,1,1,13,28,NA,NA,19.606162247231463
1293,13,1364.691206,11.30358375,11.20217266,1,1,10,19,NA,NA,17.22704285689404
1294,13,1372.005143,24.5664119,-28.96593399,1,1,20,72,NA,NA,27.794038814833325
1298,13,1373.947054,10.08234078,-11.17893725,1,1,10,20,NA,NA,16.451552984568085
1298,13,1380.381124,12.77672027,0.107171293,1,1,10,22,NA,NA,18.22757748187698
1300,13,1368.554669,30.63300263,-8.30778759,1,1,33,110,NA,NA,33.27733237700382
1302,13,1423.98511,25.05503914,-27.68472584,1,1,39,60,NA,NA,28.226848678287343
1304,13,1426.018432,19.12549112,16.91583018,1,1,34,51,NA,NA,23.125406171161597
1305,14,1383.031422,19.41473378,5.720531754,1,1,16,42,NA,NA,23.935995649821486
1306,13,1437.953508,8.758846863,8.706236654,0,1,29,43,2,NA,15.675375541577463
1306,13,1368.664809,24.26862713,-35.83987658,0,1,19,68,3,NA,27.531187093457703
1306,13,1370.423469,14.79420021,-49.78135866,0,0,12,23,6,1,19.694373812171943
1307,13,1424.769453,16.20636139,7.671000948,1,1,32,48,NA,NA,20.77609562702489
1307,13,1382.776747,14.84444921,-31.60346365,0,1,13,30,3,NA,19.732148193956725
1308,13,1481.322744,31.04819327,-15.76243879,0,1,52,96,6,NA,33.65992135064004
1310,13,1432.050461,31.10082882,-23.27713834,1,1,41,75,NA,NA,33.70847895249714
1311,12,1395.226487,9.706630397,-47.97637693,0,0,10,29,6,1,15.434334247513378
1311,12,1467.000908,19.56611585,7.935503824,0,1,45,73,1,NA,22.952840553091054
1312,12,1483.828159,15.27351132,32.61590041,0,1,29,69,36,NA,19.423700678350873
1313,12,1433.017088,29.27220794,-35.86828774,1,1,40,71,NA,NA,31.63640557463188
1316,13,1491.396413,27.78706775,27.09822594,0,1,47,95,30,NA,30.677697666922302
1317,13,1497.700872,31.11361404,24.69877554,0,1,50,117,31,NA,33.72027548271344
1319,13,1398.881377,13.51892558,-46.71053416,0,0,15,42,10,5,18.755301886068864
1321,13,1483.528176,15.19177952,15.76664543,0,1,29,69,27,NA,19.994753436446558
1321,13,1418.079242,30.58184425,-22.72000518,0,1,40,69,2,NA,33.23024522526516
1323,13,1442.513248,27.02566249,-40.029438,1,1,39,73,NA,NA,29.98977214023796
1323,13,1465.636433,19.07639936,17.41533927,1,1,44,72,NA,NA,23.084822124985248
1324,14,1482.827617,19.74404098,20.76993429,0,1,36,85,22,NA,24.203866513842772
1325,14,1433.820357,21.094422,-48.87193132,1,1,40,56,NA,NA,25.31747695790566
1326,14,1504.365777,11.12702792,42.25325543,0,0,25,50,34,24,17.88325334866281
1327,13,1386.306523,32.2213678,-30.10882544,0,1,36,85,4,NA,34.745021843465246
1328,13,1431.843518,16.50456916,9.921074985,1,1,30,50,NA,NA,21.009540765024425
1329,13,1455.840201,12.60034013,22.3517067,1,1,33,58,NA,NA,18.104379895254308
1329,13,1478.841386,8.010050514,43.43658094,0,0,23,48,19,4,15.269607370094088
1330,14,1396.420446,34.0514724,-1.081523043,1,1,39,84,NA,NA,36.81715323878208
1331,14,1446.476554,22.11344937,21.01498798,1,1,37,70,NA,NA,26.172593357165688
1331,14,1450.281708,21.1555628,5.293669691,1,1,39,67,NA,NA,25.368441761068887
1332,14,1474.137675,9.280279391,24.69740633,0,0,26,59,13,1,16.79653492762776
1332,14,1456.572469,17.23974856,13.61336512,1,1,37,65,NA,NA,22.208307689061364
1335,14,1424.806111,15.04047828,-16.80361021,1,1,31,47,NA,NA,20.547894950362963
1337,13,1430.094924,15.86659301,-18.5592761,1,1,31,50,NA,NA,20.512161605861554
1338,13,1379.121616,18.4324397,-48.56685319,0,1,13,38,35,NA,22.555594279338685
1342,14,1445.190915,26.55880176,-4.683763767,1,1,40,72,NA,NA,30.022823833326857
1344,13,1407.706292,27.42256053,-32.65321455,0,1,34,61,1,NA,30.347929517868494
1345,13,1425.180361,9.75626716,-28.65996112,0,1,23,47,3,NA,16.25376106928161
1346,13,1480.953033,12.82950282,7.98400545,0,1,27,63,2,NA,18.26461449383446
1346,13,1429.776931,12.12843836,-27.79628159,0,1,29,47,2,NA,17.77917368868192
1348,14,1441.158381,30.83570786,-45.23123382,1,1,42,80,NA,NA,33.865039188332055
1351,14,1473.513306,34.72405038,-44.13346332,1,1,60,98,NA,NA,37.440081126952414
1352,14,1534.098234,27.50824762,2.082268195,0,1,66,147,8,NA,30.86589844995988
1352,14,1437.85486,8.081984336,-34.38556429,0,0,29,43,8,4,16.165347840592524
1353,13,1495.402381,19.31394405,-19.33403893,1,1,34,68,NA,NA,23.281504134538437
1354,13,1463.529923,20.44606382,-1.572361565,1,1,44,74,NA,NA,24.228939839198762
1359,14,1536.510832,19.97732159,46.80675208,0,1,41,122,13,NA,24.394535820758716
1361,14,1549.085681,20.19109571,46.9669807,0,0,60,142,22,9,24.56990732522979
1361,14,1512.01044,15.89172933,24.92188592,0,1,30,54,4,NA,21.17892964948848
1361,14,1484.476962,29.14179309,6.879602466,1,1,48,92,NA,NA,32.330235144526426
1363,13,1534.303022,21.06517612,22.37542614,0,1,44,125,6,NA,24.75361882567109
1364,13,1487.085041,27.30734751,35.92040085,1,1,47,92,NA,NA,30.243862650658617
1366,14,1504.510314,10.61334005,27.83396994,1,1,25,49,NA,NA,17.568238016856842
1366,14,1497.986781,30.40551656,29.16840557,1,1,49,112,NA,NA,33.47380225311182
1367,14,1498.702244,34.52031975,38.42677653,1,1,57,139,NA,NA,37.25120770716354
1369,14,1521.889979,9.216036014,16.79012654,0,1,22,43,9,NA,16.761125254926803
1369,14,1557.22497,26.43677303,40.68781713,0,0,90,143,17,8,29.91492885232615
1369,14,1445.504681,20.38249829,-46.75306424,0,0,36,64,23,4,24.727438940210792
1370,13,1541.444613,34.84988653,34.8907253,1,1,87,166,NA,NA,37.195625968033866
1375,14,1491.355343,17.9775054,14.05119612,1,1,31,69,NA,NA,22.78575652479042
1377,13,1484.369687,11.15324778,-6.879232312,0,1,24,54,3,NA,17.128775088781886
1377,13,1520.759831,25.51094401,22.79827669,1,1,44,125,NA,NA,28.63229407996074
1378,13,1552.128568,28.3631873,33.6266268,0,1,90,151,3,NA,31.200487076564706
1379,13,1482.702114,15.6711159,-34.18312361,0,1,31,71,1,NA,20.36133280390144
1380,14,1525.302491,29.8714898,46.46741988,1,1,58,155,NA,NA,32.9894817005588
1380,14,1508.777268,10.49627507,-0.295722624,1,1,29,46,NA,NA,17.497765295748582
1382,14,1539.970004,27.29217309,-21.77670507,1,1,73,150,NA,NA,30.67348548786916
1383,14,1494.013873,23.86154454,-23.38263402,1,1,38,85,NA,NA,27.66538103540965
1384,14,1454.306652,19.61506868,-36.09055351,0,0,35,66,33,14,24.09877422860169
1385,13,1474.000674,28.18974265,-10.72100855,0,1,51,90,7,NA,31.04289919890262
1385,13,1443.063346,34.05247808,-46.66268178,0,0,45,85,35,4,36.44957151173221
1387,13,1459.451166,27.27860533,-28.18869168,0,0,47,80,30,5,30.2179137061099
1389,13,1476.494457,10.93869437,-44.26296367,0,0,29,62,14,6,16.989850926958415
1390,14,1536.26099,30.23698819,-2.662075823,1,1,81,167,NA,NA,33.32079613097802
1390,14,1496.727226,10.36657985,-49.51850544,0,1,24,44,10,NA,17.420274905592795
1391,14,1480.148157,32.12915206,-49.23180828,0,1,55,97,7,NA,35.0468602316185
1393,13,1538.89826,22.50338627,-3.329208447,1,1,57,140,NA,NA,25.988505028508747
1394,13,1574.429948,9.554296148,45.6883973,0,0,52,109,15,9,16.133337375871356
1395,13,1480.920118,30.42135932,-45.55133232,0,1,51,94,12,NA,33.08261027906581
1396,13,1530.744962,20.02042367,11.33637452,1,1,40,101,NA,NA,23.870847574526888
1396,13,1587.075938,18.6770155,39.30938186,0,0,73,115,18,12,22.755898312025394
1399,13,1478.268506,20.13877484,-44.86967574,0,0,41,78,20,11,23.97019507755865
1400,13,1498.931084,12.76770728,-37.45499894,0,0,26,49,18,3,18.22126091102822
1404,13,1568.152724,20.13865786,23.74077877,1,1,79,127,NA,NA,23.970096795844185
1405,13,1530.882169,11.15990178,-20.95457909,1,1,23,48,NA,NA,17.133108525286566
1405,13,1505.336551,27.86668055,-25.28786391,0,1,44,113,8,NA,30.749827395869207
1405,13,1530.104461,21.62510243,-23.28807267,1,1,42,112,NA,NA,25.231826234103462
1406,13,1606.480447,11.08506107,43.69927389,0,0,49,108,14,7,17.084454305760822
1406,13,1556.399833,22.32158416,-9.135394334,1,1,67,138,NA,NA,25.83124308685052
1406,13,1514.879461,8.005725112,-22.85417549,0,0,25,45,10,3,15.267338817518507
1408,12,1533.249914,34.11137526,-44.33410508,1,1,87,170,NA,NA,36.16055754725776
1409,12,1540.914389,31.6472887,-26.17478843,1,1,83,164,NA,NA,33.84598768039053
1412,13,1596.017865,8.671316861,24.66600912,0,1,71,113,5,NA,15.626635469731252
1414,13,1551.492791,18.78878633,-2.680851403,1,1,59,136,NA,NA,22.847723995059003
1414,13,1617.747241,24.69401129,3.467668337,0,1,73,127,4,NA,27.90688434043914
1416,12,1598.549626,26.86003739,-21.29232879,1,1,82,122,NA,NA,29.41872887451458
1419,13,1608.134306,18.72791381,32.25960659,1,1,69,114,NA,NA,22.79769189358407
1420,13,1534.892141,26.96923003,-11.33756773,0,1,66,147,6,NA,29.93892730895771
1420,13,1609.224852,17.67778075,35.78695124,1,1,63,113,NA,NA,21.94319785822182
1420,13,1563.648743,11.04208446,-22.70300691,0,1,46,106,4,NA,17.056600752253466
1426,13,1637.307487,28.20416563,27.21085732,1,1,75,174,NA,NA,31.055997148449013
1427,12,1578.432144,32.3716936,-44.01340873,0,1,84,140,6,NA,34.524289225591325
1427,12,1540.66088,19.83090873,-46.79616741,0,0,50,129,13,6,23.178976272855326
1428,12,1629.992018,27.0950424,5.487547815,1,1,70,150,NA,NA,29.633449388449495
1431,13,1555.231413,31.11462757,-45.41707097,0,1,94,153,4,NA,33.72121066657904
1432,13,1638.113367,14.97794615,23.04167745,0,1,26,83,85,NA,19.832772647118702
1437,13,1566.052346,32.71834041,35.51054918,1,1,93,147,NA,NA,35.206388613213925
1438,13,1611.139679,16.14903016,34.24008202,1,1,59,113,NA,NA,20.731405526605993
1442,13,1585.668858,11.07557147,8.617999055,1,1,65,109,NA,NA,17.07829860926076
1443,13,1632.957949,11.5258076,20.18786129,0,1,22,73,74,NA,17.373665152529497
1443,13,1576.866052,26.49718811,22.08322447,1,1,79,131,NA,NA,29.51441982720862
1446,12,1503.562919,17.14414079,-47.41152208,0,0,32,55,58,43,20.926575530347574
1450,13,1592.902297,13.28021949,-21.37321141,1,1,71,112,NA,NA,18.58397776856655
1451,13,1570.028257,28.7658056,-45.05476146,1,1,85,139,NA,NA,31.566937954400824
1452,12,1623.347074,25.23442497,20.8303947,0,1,65,130,1,NA,27.94237290508019
1453,12,1553.421307,23.39712841,-12.77300976,0,1,71,142,1,NA,26.29497324269468
1453,12,1520.735246,25.61251539,-44.55951147,0,1,44,129,47,NA,28.28428794583641
1455,13,1577.994482,16.2595784,-7.020026236,1,1,71,114,NA,NA,20.81763410538639
1458,12,1624.078428,25.5340778,39.28737785,0,1,65,131,7,NA,28.213279304193847
1459,12,1607.642885,24.10073362,32.92095114,0,1,79,123,5,NA,26.922952308805183
1459,12,1490.505405,28.45070272,-26.87100223,0,0,46,96,67,54,30.87786400096055
1459,12,1594.663694,9.638295309,15.59668211,0,1,69,112,5,NA,15.391450109183715
1459,12,1580.859335,8.260953517,12.49007524,1,1,69,110,NA,NA,14.568574158442367
1460,12,1589.487453,16.42841043,7.328130305,0,1,84,113,2,NA,20.344352269279373
1462,12,1589.164298,24.74953344,-7.085087989,0,1,87,125,4,NA,27.50526141482168
1464,11,1553.386136,9.701313582,-22.01891947,1,1,37,92,NA,NA,14.666815783130899
1466,11,1624.546664,33.15564407,8.691997337,0,1,92,165,6,NA,34.932745865398644
1466,11,1567.068503,11.73597181,-0.105267228,1,1,46,122,NA,NA,16.085180581053937
1466,11,1534.909405,11.49150668,-37.1505826,0,1,21,55,60,NA,15.907693917613724
1467,11,1607.043933,8.616491809,21.10902106,0,0,45,92,8,4,13.97297144828415
1467,11,1531.588148,17.25447025,-44.04875385,0,1,31,88,59,NA,20.462569330563916
1467,11,1599.129972,24.82888516,29.47038261,0,1,81,120,5,NA,27.156464024030598
1467,11,1595.508655,32.26708611,8.396350686,0,1,82,135,5,NA,34.090538951887446
1468,11,1594.73254,30.99494393,1.088664331,0,1,84,132,3,NA,32.889003469607346
1468,11,1627.419657,20.55449941,13.47161764,0,0,57,121,7,1,23.312817204183844
1468,11,1567.573022,26.90206704,37.59259556,1,1,84,137,NA,NA,29.064087995749226
1468,11,1621.17276,13.7791879,36.54181683,0,0,48,98,8,3,17.631393001788215
1472,11,1601.995261,13.2641874,20.00636621,0,1,68,111,1,NA,17.231908408017922
1473,11,1569.357421,27.87672264,-31.40759564,1,1,84,139,NA,NA,29.968511226744123
1473,11,1569.149226,28.99011804,36.82362046,1,1,85,140,NA,NA,31.00688542845175
1473,11,1607.250115,25.42654609,9.167209314,1,1,81,123,NA,NA,27.703957227567585
1474,11,1601.453286,26.95106729,37.7671449,1,1,82,122,NA,NA,29.109449120004108
1474,11,1570.161265,22.40197957,-47.25141563,1,1,77,128,NA,NA,24.956936684110442
1475,11,1563.54938,14.68579978,-30.28179153,0,1,55,122,2,NA,18.348643415202336
1477,11,1577.362216,23.0625881,14.91931651,0,1,78,125,1,NA,25.551574704316398
1479,11,1588.46631,10.07906226,-17.307942100000002,0,1,68,109,2,NA,14.919366475858025
1480,11,1574.064832,8.61791791,-25.16330774,0,1,45,106,8,NA,13.973850904582415
1481,11,1677.753361,23.09436961,29.32445556,0,0,52,101,53,47,25.580264026848738
1481,11,1578.312314,34.99324735,-15.03448731,0,1,88,143,3,NA,36.6814307258902
1484,11,1586.38335,27.47946177,-36.30469651,1,1,86,128,NA,NA,29.599338154237362
1487,11,1665.842647,34.86520932,37.78914234,0,1,82,206,38,NA,36.55930553125175
1489,11,1600.323857,17.59708222,22.30029069,1,1,79,118,NA,NA,20.752284275651203
1491,11,1628.373693,16.20572602,43.28439008,0,1,51,102,6,NA,19.58636147515166
1491,11,1639.490162,14.2292715,30.8681424,0,0,23,78,28,4,17.98533200751969
1494,11,1673.257228,27.24959176,30.21812276,0,0,56,128,38,23,29.386055384938278
1495,11,1682.380169,34.39022201,32.82660006,0,0,71,180,40,10,36.10661116606055
1496,11,1612.24621,13.31754206,48.23039004,0,1,50,108,10,NA,17.273011506968583
1496,11,1618.310006,9.45119735,39.19050503,0,0,47,89,11,1,14.502590504756279
1496,11,1566.217879,17.89370798,0.352605549,1,1,75,126,NA,NA,21.004399188587033
1497,11,1641.054909,34.8146607,-8.422325435,0,1,111,196,7,NA,36.511102416335284
1497,11,1623.252913,25.35817305,28.99325618,0,1,65,130,10,NA,27.641218143087443
1499,11,1646.932413,29.85844394,49.54022493,0,1,88,188,13,NA,31.820224300248462
1500,11,1588.302304,13.39947178,17.35659062,1,1,69,110,NA,NA,17.336258073269917
1502,11,1606.238179,15.64157672,29.18812823,0,1,61,111,11,NA,19.122210183125954
1504,11,1595.763339,31.54884015,41.24828412,0,1,82,133,3,NA,33.41151470391985
1506,11,1604.399569,28.18239907,18.30756648,0,1,85,125,4,NA,30.25305963602255
1508,11,1534.119696,20.0551031,-35.24369192,0,1,40,114,96,NA,22.87372204849114
1511,11,1511.784193,20.72526691,-49.69886993,0,0,36,66,114,99,23.463518246220893
1511,11,1624.123538,10.19301131,44.52749928,0,0,39,77,5,1,14.996582262828685
1513,11,1610.921021,8.864614854,20.79189306,0,1,49,94,1,NA,14.127328003191455
1514,11,1614.33441,16.4797405,11.31034768,1,1,52,114,NA,NA,19.813678279091448
1515,11,1623.592243,33.18440772,-26.83874865,1,1,92,163,NA,NA,34.960047421695464
1516,11,1599.34826,14.22679911,-17.34249091,1,1,75,116,NA,NA,17.98337601553993
1516,11,1574.700994,8.697556516,-23.01280219,0,1,46,107,5,NA,14.023105552944186
1518,11,1580.331166,33.49558195,22.27548358,0,1,85,139,2,NA,35.2555528983615
1518,11,1577.028811,20.53056964,-12.0591,0,1,76,122,3,NA,23.291721485173433
1519,11,1607.350215,22.13449069,-30.9762683,1,1,75,121,NA,NA,24.717113061716912
1521,11,1635.013456,31.220991,30.00677787,1,1,90,175,NA,NA,33.102118950636395
1522,11,1579.399229,33.80880634,-32.79090747,0,1,86,141,6,NA,35.553275322192526
1522,11,1572.538863,21.38949125,-10.69457415,0,0,80,124,7,1,24.052241806821804
1524,11,1634.365044,23.07671132,2.860987792,1,1,61,136,NA,NA,25.564322900218112
1524,11,1616.249322,31.96079016,42.74027988,1,1,88,140,NA,NA,33.800770814458545
1525,11,1618.563515,30.96862729,-31.28006759,1,1,87,140,NA,NA,32.864203569034395
1526,11,1600.1484599999999,12.22076509,0.889398018,0,1,70,110,2,NA,16.44223523080006
1527,11,1620.616141,34.20844194,-27.744425970000002,1,1,91,164,NA,NA,35.93351499592478
1527,11,1682.506508,34.49134951,18.74317415,0,1,71,181,8,NA,36.20294450760846
1529,11,1569.181137,24.15039248,-38.39989074,0,0,78,130,14,8,26.537548058139066
1529,11,1643.58715,8.988693057,7.955768146,1,1,14,35,NA,NA,14.20551311544078
1530,11,1653.55373,19.49008571,-19.28540559,1,1,45,117,NA,NA,22.3799785742334
1532,11,1598.500465,21.93246985,-45.16529669,0,0,80,119,9,2,24.53636553610088
1532,11,1534.788616,32.18539161,-29.69960782,0,0,83,168,23,15,34.013224385363095
1533,11,1543.854382,32.18964722,-45.02728514,0,0,84,162,21,15,34.01725133146495
1533,11,1606.319279,30.41665292,-45.71662371,0,1,86,130,3,NA,32.344594213805564
