target_year,curve_uncert,offset_14c_age,measurement_error,offset_magnitude,accuracy_68,accuracy_95,precision_68,precision_95,off_target_68,off_target_95,sigma_curve_uncert
72,10,115.1917882,34.34673619,-11.38008542,1,1,141,226,NA,NA,35.77287082281007
72,10,106.2495227,20.9713429,-22.0086074,1,1,93,153,NA,NA,23.233536601847348
72,10,168.3905796,28.26782928,44.44178112,0,1,112,234,44,NA,29.984498865300807
73,10,107.4130753,15.23902766,-5.420401646,0,1,88,142,1,NA,18.227121660378664
74,10,153.2197909,17.51958875,16.87064876,0,1,101,196,41,NA,20.17265450973487
74,10,86.41617414,11.53051625,-40.13533473,0,0,43,93,15,1,15.262791520279443
77,9,163.1119487,20.62478131,14.96997077,0,1,99,200,49,NA,22.502924345189566
78,9,126.270345,11.44429583,16.1983164,1,1,69,165,NA,NA,14.559255030548623
78,9,166.3708008,20.09310782,35.58057297,0,1,88,185,53,NA,22.01665237646598
78,9,142.1059552,10.67249179,-2.052251715,1,1,84,171,NA,NA,13.960733541172448
79,9,116.1974982,10.33021679,12.50115884,1,1,96,148,NA,NA,13.700853218993258
80,9,159.9840247,13.7998151,17.17862436,0,1,71,173,53,NA,16.47528138740544
82,9,123.9069356,30.94059014,-13.30295741,1,1,152,227,NA,NA,32.22297500559912
82,9,130.1731096,15.81789068,1.681001089,1,1,102,198,NA,NA,18.19905672183124
82,9,94.13381216,25.54714153,-15.96508371,0,1,93,152,9,NA,27.08609311720409
83,9,121.7328003,29.5453428,4.184649279,1,1,129,218,NA,NA,30.885713220994457
83,9,22.40205886,26.68417392,-23.11840616,0,0,41,106,24,9,28.16105711426345
84,9,131.176616,22.70080543,-0.184057676,1,1,123,212,NA,NA,24.4197986717892
85,9,147.3635183,15.55966108,7.19127215,1,1,114,202,NA,NA,17.975067536019626
85,9,69.9224874,34.94063343,-21.77205195,0,1,88,162,13,NA,36.08112892482209
87,9,89.75566869,31.36962478,-49.30840973,0,1,93,170,14,NA,32.635155259903236
88,9,182.8024627,32.98109421,16.87262498,0,1,109,230,57,NA,34.18702349267768
89,9,166.0786805,14.80174539,5.239801761,0,0,68,140,56,49,17.323154060112326
89,9,87.84632272,21.27225344,-28.37194209,0,1,71,139,23,NA,23.09780869293864
90,9,161.3489439,9.811878826,24.50742361,0,0,57,124,54,50,13.314389437601227
90,9,117.7250404,23.41624337,-22.46415222,1,1,112,188,NA,NA,25.0862602546308
93,10,181.263944,25.8611794,30.72437793,0,1,99,201,53,NA,27.727253739939417
93,10,135.0647435,34.79536009,31.71994695,1,1,149,253,NA,NA,36.203826921925874
93,10,83.52763172,30.71100106,-6.763660861,0,1,93,161,19,NA,32.29807403092824
94,10,178.5226605,28.95622861,31.54512641,0,1,107,219,50,NA,30.634346334050978
94,10,123.7372628,13.93158663,5.38261116,1,1,89,166,NA,NA,17.149026387209123
95,10,122.4134943,27.82630862,-19.17183232,1,1,124,212,NA,NA,29.56862275141482
97,10,71.07573454,15.74253698,-45.4602503,0,0,38,89,21,16,18.650133258683905
98,10,135.2363415,26.02273047,-4.357280582,1,1,135,227,NA,NA,27.877993132832685
98,10,152.9137968,12.37752728,14.47514868,0,1,75,169,42,NA,15.912359396618221
102,10,124.5913402,23.18874003,-36.91521639,1,1,121,209,NA,NA,25.253072371078424
102,10,152.4191122,27.51881706,8.915466978,0,1,140,249,3,NA,29.279434632208098
104,10,85.33788739,10.64235036,-42.06064828,0,0,38,81,14,11,14.603411285894543
106,10,131.2792302,15.84485565,-15.77809283,1,1,98,202,NA,NA,18.736580546336008
107,10,158.1774962,15.69845213,29.93405925,0,1,76,176,35,NA,18.612936342176145
109,10,183.3853186,34.48878231,46.26853724,0,1,111,233,36,NA,35.90927603317239
110,10,173.2214465,16.28578119,49.62743137,0,0,73,133,38,31,19.110904451871395
111,10,204.7939199,14.48861293,43.8925416,0,0,45,103,41,37,17.60454215920889
113,9,118.1191155,34.82312206,-6.928921631,1,1,140,227,NA,NA,35.96734393871278
113,9,170.3321702,22.65544207,28.30410851,0,0,89,191,32,1,24.377634327127105
113,9,119.8557884,8.237668785,-10.97840187,1,1,73,148,NA,NA,12.20078632758411
113,9,59.08537662,17.67163941,-30.80593522,0,0,36,83,5,1,19.831460849797857
114,10,164.9770943,24.28207763,42.57079419,0,1,108,210,29,NA,26.26060345897151
114,10,48.86564342,23.10389077,-43.81678633,0,1,47,114,3,NA,25.175181602365676
115,9,118.3976675,34.7017116,26.18131058,1,1,140,227,NA,NA,35.84980875778244
115,9,100.1157983,22.568163,-35.19522026,1,1,93,151,NA,NA,24.29654257697109
115,9,93.71315003,10.53923986,-12.85955298,0,1,47,113,3,NA,13.859133336057232
